ID,Name,Version,Commit
1,World Weather,1.2.5,9c0cb03
2,Amaze File Manager,3.4.3,04d29df
3,BeeCount,2.4.6,af75a53
4,Diary,1.7.0,a1b78e6
5,Omni Notes,6.0.5,68d074a
6,OpenTasks,1.2.4,e750aca
7,Simple Draw,6.1.0,84d5b25
8,Simple File Maganer,6.7.3,bbbda12
9,Simple Solitare,3.1.3,1c7a66a
10,WiFiAnalyzer,3.0.1,9109534
11,Hibi,1.4.0,6fc73fe
12,Geological Timescale,0.4.1,26431ff
13,DroidShows,7.11.1,3ee1071
14,Suntimes,0.12.9,38dd5c1
15,Word Scribe,1.6.2,04a85e5
16,Nani,0.3.0,213e57c1
17,Fate Sheets,1.2,41d0fa9
18,Lift,0.2,6fceee72
19,Currency,1.33,72e7dcd
20,Tricky Tripper,1.6.2,8875e1e
21,Open Money Box,3.4.1.4,efbfc952
